Matrix size,Threads,Order,Time(s)
64,1,0,0.00090387
64,1,1,0.00092287
64,1,2,0.00078440
64,1,3,0.00093656
64,1,4,0.00098311
64,1,5,0.00090163
64,2,0,0.00051313
64,2,1,0.00068120
64,2,2,0.00057110
64,2,3,0.00099298
64,2,4,0.00078965
64,2,5,0.00059854
64,4,0,0.00046656
64,4,1,0.00059636
64,4,2,0.00055636
64,4,3,0.00049632
64,4,4,0.00052048
64,4,5,0.00075394
64,8,0,0.00076395
64,8,1,0.00068055
64,8,2,0.00076917
64,8,3,0.00074234
64,8,4,0.00075330
64,8,5,0.00093607
64,16,0,0.00139151
64,16,1,0.00159504
64,16,2,0.00127171
64,16,3,0.00108198
64,16,4,0.00118490
64,16,5,0.00114054
128,1,0,0.00655825
128,1,1,0.00757505
128,1,2,0.00793177
128,1,3,0.00857920
128,1,4,0.00938327
128,1,5,0.01108195
128,2,0,0.00696626
128,2,1,0.00436627
128,2,2,0.00359954
128,2,3,0.00424832
128,2,4,0.00417699
128,2,5,0.00540718
128,4,0,0.00202781
128,4,1,0.00240533
128,4,2,0.00251075
128,4,3,0.00299959
128,4,4,0.00248690
128,4,5,0.00290614
128,8,0,0.00179583
128,8,1,0.00207361
128,8,2,0.00151461
128,8,3,0.00184971
128,8,4,0.00182748
128,8,5,0.00172529
128,16,0,0.00185217
128,16,1,0.00178532
128,16,2,0.00172578
128,16,3,0.00216284
128,16,4,0.00169799
128,16,5,0.00177419
256,1,0,0.05794599
256,1,1,0.06536147
256,1,2,0.05489942
256,1,3,0.08210193
256,1,4,0.05428669
256,1,5,0.05920332
256,2,0,0.02639612
256,2,1,0.03335633
256,2,2,0.02908115
256,2,3,0.03340614
256,2,4,0.02854184
256,2,5,0.03052097
256,4,0,0.01465401
256,4,1,0.01600648
256,4,2,0.01396231
256,4,3,0.01786133
256,4,4,0.01909902
256,4,5,0.01404834
256,8,0,0.00738327
256,8,1,0.01105750
256,8,2,0.00816760
256,8,3,0.01309108
256,8,4,0.01069892
256,8,5,0.01099810
256,16,0,0.00738547
256,16,1,0.00935324
256,16,2,0.00733781
256,16,3,0.01212809
256,16,4,0.00998983
256,16,5,0.00988625
512,1,0,0.55941765
512,1,1,0.40359471
512,1,2,0.55343991
512,1,3,0.68624953
512,1,4,0.39931101
512,1,5,0.41542838
512,2,0,0.28207162
512,2,1,0.22622731
512,2,2,0.29040950
512,2,3,0.33421778
512,2,4,0.21180040
512,2,5,0.23523766
512,4,0,0.14063033
512,4,1,0.11253759
512,4,2,0.14307764
512,4,3,0.19734604
512,4,4,0.12090010
512,4,5,0.12515226
512,8,0,0.08378718
512,8,1,0.08213298
512,8,2,0.08068977
512,8,3,0.09832816
512,8,4,0.07657034
512,8,5,0.07286018
512,16,0,0.05706846
512,16,1,0.05799317
512,16,2,0.05707815
512,16,3,0.07448854
512,16,4,0.05246165
512,16,5,0.05555960
1024,1,0,3.87786163
1024,1,1,3.10002278
1024,1,2,3.92468841
1024,1,3,5.33023683
1024,1,4,3.02940903
1024,1,5,3.03732765
1024,2,0,2.02320207
1024,2,1,1.58514877
1024,2,2,2.05019611
1024,2,3,2.45721972
1024,2,4,1.56555900
1024,2,5,1.58480571
1024,4,0,1.11413331
1024,4,1,0.86762896
1024,4,2,1.11389282
1024,4,3,1.40701515
1024,4,4,0.86331578
1024,4,5,0.89028752
1024,8,0,0.79001748
1024,8,1,0.53398945
1024,8,2,0.76529716
1024,8,3,0.86520780
1024,8,4,0.57270646
1024,8,5,0.57809993
1024,16,0,0.38826568
1024,16,1,0.44672307
1024,16,2,0.47453519
1024,16,3,0.57994254
1024,16,4,0.42931479
1024,16,5,0.40287458
2048,1,0,126.50996323
2048,1,1,24.41361284
2048,1,2,129.56362069
2048,1,3,99.87326099
2048,1,4,24.77980000
2048,1,5,24.67863490
2048,2,0,62.33809014
2048,2,1,12.87473456
2048,2,2,60.89398797
2048,2,3,56.56065989
2048,2,4,12.74106589
2048,2,5,12.54487529
2048,4,0,30.24200295
2048,4,1,6.75212466
2048,4,2,31.08173300
2048,4,3,27.78368519
2048,4,4,7.06073116
2048,4,5,7.32252658
2048,8,0,19.63706385
2048,8,1,4.49822464
2048,8,2,18.59303937
2048,8,3,18.02411268
2048,8,4,4.50781096
2048,8,5,4.40243065
2048,16,0,14.49653906
2048,16,1,3.89988826
2048,16,2,14.88648770
2048,16,3,14.77830930
2048,16,4,3.62188261
2048,16,5,3.49623827
